registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
922523244050,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,9.00,9.00,9.00,10.00,10.00,10.00,10.00,9.00,10.00,9.00,9.50
922523244050,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,9.00,8.00,8.00,9.00,8.00,8.00,9.00,8.00,8.00,8.00,8.30
922523244009,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,6.00,7.00,5.00,5.00,8.00,3.00,2.00,2.00,3.00,4.00,4.50
922523244009,Computer Science and Business Systems,4,Pavithra,Database Management Systems,7.00,6.00,8.00,8.00,7.00,8.00,5.00,8.00,8.00,7.00,7.20
922523244009,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,4.00,4.00,7.00,6.00,6.00,5.00,4.00,6.00,5.00,6.00,5.30
922523244009,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244009,Computer Science and Business Systems,4,Manonmani,Machine Learning,7.00,8.00,7.00,8.00,7.00,9.00,8.00,7.00,7.00,8.00,7.60
922523244009,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,6.00,6.00,7.00,8.00,8.00,7.00,8.00,7.00,7.00,8.00,7.20
922523244009,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,7.00,7.00,6.00,7.00,7.00,6.00,7.00,6.00,7.00,7.00,6.70
922523244009,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,8.00,7.00,8.00,9.00,8.00,9.00,8.00,9.00,8.00,9.00,8.30
922523244009,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244009,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,6.00,6.00,6.00,7.00,8.00,9.00,9.00,9.00,9.00,9.00,7.80
